,Station code,waterbody,srcStateName,Minimum temperature of water for different water bodies,Maximum temperature of water for different water bodies,Minimum dissolved oxygen.,Maximum dissolved oxygen,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality for different water bodies,Maximum conductivity required for water quality for different water bodies,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required for different water bodies,Maximum  of Nitrate N + Nitrite N required for different water bodies,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum  of total coliform required for different water bodies,Maximum  of total coliform required for different water bodies,srcYear,YearCode
761,3045,WATER TREATMENT PLANT (RAW WATER),DELHI,,,10.2,10.2,7.6,7.6,239,239,1.1,1.1,5.12,5.12,35000,35000,35000,35000,2019,2019
762,3047,WATER TREATMENT PLANT (RAW WATER),HARYANA,,,,,7.1,7.5,209,322,1.8,3.2,0.41,0.71,170,2800,330,16000,2019,2019
763,3050,WATER TREATMENT PLANT (RAW WATER),UTTAR PRADESH,,,,,7.1,7.5,164,751,,,0.4,2.1,2,3300,2,4900,2019,2019
764,2267,CREEK,GOA,27,35,4.8,16,6.4,8.3,160,19710,,2.8,0.22,20.65,230,4900,490,7900,2019,2019
765,4022,COASTAL,GOA,28,32,5.9,7,7.4,8.1,32490,55980,,4.6,0.01,0.51,5,790,23,1400,2019,2019
766,4020,COASTAL,GOA,27,32,5.3,6.9,7.4,8.2,31870,85160,,3.3,0.02,0.62,33,1100,79,2200,2019,2019
767,3044,WATER TREATMENT PLANT (RAW WATER),DELHI,,,7.8,7.8,7.4,7.6,189,280,,1.7,1.91,1.91,170,3500,2200,5400,2019,2019
768,4018,COASTAL,GOA,28,32,4.2,6.9,7.3,8.2,26870,68180,,3.3,0.01,0.64,33,540,110,1100,2019,2019
769,20033,STP,TAMIL NADU,30,33,,,7.1,7.4,1641,1696,10,27,,,2,270,460,1700,2019,2019
770,2910,INDUSTRIAL DRAIN,PUNJAB,13,30,,,6.7,7.8,1547,2850,154,298,2.4,4.8,63000,220000,150000,350000,2019,2019
